event_time,machine_id,temperature,vibration,rpm
2025-06-19T13:55:59.565226Z,M-004,77.87,0.029,1460
2025-06-19T13:56:00.565226Z,M-003,64.26,0.015,1517
2025-06-19T13:56:01.565226Z,M-002,67.02,0.012,1594
2025-06-19T13:56:02.565226Z,M-004,72.92,0.021,1588
2025-06-19T13:56:03.565226Z,M-001,75.73,0.01,1594
2025-06-19T13:56:04.565226Z,M-001,79.3,0.013,1596
2025-06-19T13:56:05.565226Z,M-003,80.66,0.024,1538
2025-06-19T13:56:06.565226Z,M-003,74.18,0.017,1499
2025-06-19T13:56:07.565226Z,M-005,74.95,0.026,1414
2025-06-19T13:56:08.565226Z,M-004,66.33,0.014,1526
2025-06-19T13:56:09.565226Z,M-003,82.44,0.01,1416
2025-06-19T13:56:10.565226Z,M-005,65.18,0.019,1473
2025-06-19T13:56:11.565226Z,M-002,76.91,0.019,1562
2025-06-19T13:56:12.565226Z,M-005,83.69,0.011,1529
2025-06-19T13:56:13.565226Z,M-003,86.84,0.03,1575
2025-06-19T13:56:14.565226Z,M-004,70.64,0.023,1552
2025-06-19T13:56:15.565226Z,M-001,82.62,0.024,1496
2025-06-19T13:56:16.565226Z,M-002,87.32,0.016,1443
2025-06-19T13:56:17.565226Z,M-003,84.43,0.011,1485
2025-06-19T13:56:18.565226Z,M-004,67.76,0.012,1575
2025-06-19T13:56:19.565226Z,M-003,66.42,0.013,1445
2025-06-19T13:56:20.565226Z,M-001,89.97,0.02,1532
2025-06-19T13:56:21.565226Z,M-004,73.9,0.027,1497
2025-06-19T13:56:22.565226Z,M-004,63.62,0.012,1569
2025-06-19T13:56:23.565226Z,M-002,62.59,0.021,1499
2025-06-19T13:56:24.565226Z,M-005,77.49,0.019,1465
2025-06-19T13:56:25.565226Z,M-001,63.3,0.03,1523
2025-06-19T13:56:26.565226Z,M-004,74.8,0.02,1518
2025-06-19T13:56:27.565226Z,M-005,81.96,0.02,1438
2025-06-19T13:56:28.565226Z,M-005,75.47,0.027,1512
2025-06-19T13:56:29.565226Z,M-001,64.77,0.018,1470
2025-06-19T13:56:30.565226Z,M-004,70.05,0.022,1526
2025-06-19T13:56:31.565226Z,M-001,60.72,0.021,1415
2025-06-19T13:56:32.565226Z,M-005,85.77,0.024,1431
2025-06-19T13:56:33.565226Z,M-005,78.33,0.017,1455
2025-06-19T13:56:34.565226Z,M-001,67.53,0.013,1537
2025-06-19T13:56:35.565226Z,M-004,72.88,0.019,1503
2025-06-19T13:56:36.565226Z,M-005,62.82,0.012,1512
2025-06-19T13:56:37.565226Z,M-001,83.22,0.018,1513
2025-06-19T13:56:38.565226Z,M-002,61.98,0.011,1597
2025-06-19T13:56:39.565226Z,M-004,61.79,0.013,1515
2025-06-19T13:56:40.565226Z,M-003,68.03,0.018,1419
2025-06-19T13:56:41.565226Z,M-004,67.44,0.028,1400
2025-06-19T13:56:42.565226Z,M-002,62.44,0.026,1441
2025-06-19T13:56:43.565226Z,M-002,82.71,0.016,1444
2025-06-19T13:56:44.565226Z,M-001,65.25,0.023,1555
2025-06-19T13:56:45.565226Z,M-001,83.01,0.011,1416
2025-06-19T13:56:46.565226Z,M-005,74.19,0.019,1596
2025-06-19T13:56:47.565226Z,M-004,66.19,0.024,1408
2025-06-19T13:56:48.565226Z,M-005,68.47,0.013,1580
2025-06-19T13:56:49.565226Z,M-001,82.95,0.022,1517
2025-06-19T13:56:50.565226Z,M-004,61.19,0.016,1447
2025-06-19T13:56:51.565226Z,M-001,70.91,0.016,1594
2025-06-19T13:56:52.565226Z,M-001,66.88,0.028,1556
2025-06-19T13:56:53.565226Z,M-005,85.8,0.029,1479
2025-06-19T13:56:54.565226Z,M-004,70.34,0.018,1434
2025-06-19T13:56:55.565226Z,M-003,76.58,0.03,1496
2025-06-19T13:56:56.565226Z,M-003,60.59,0.01,1412
2025-06-19T13:56:57.565226Z,M-005,67.38,0.025,1578
2025-06-19T13:56:58.565226Z,M-004,65.93,0.017,1530
2025-06-19T13:56:59.565226Z,M-001,81.37,0.018,1568
2025-06-19T13:57:00.565226Z,M-005,71.42,0.012,1449
2025-06-19T13:57:01.565226Z,M-004,80.13,0.013,1553
2025-06-19T13:57:02.565226Z,M-004,86.02,0.015,1419
2025-06-19T13:57:03.565226Z,M-002,87.23,0.012,1574
2025-06-19T13:57:04.565226Z,M-001,65.4,0.012,1432
2025-06-19T13:57:05.565226Z,M-001,67.99,0.018,1495
2025-06-19T13:57:06.565226Z,M-005,68.05,0.011,1565
2025-06-19T13:57:07.565226Z,M-002,79.58,0.024,1575
2025-06-19T13:57:08.565226Z,M-004,61.04,0.023,1508
2025-06-19T13:57:09.565226Z,M-004,72.46,0.026,1559
2025-06-19T13:57:10.565226Z,M-003,81.73,0.025,1450
2025-06-19T13:57:11.565226Z,M-002,70.28,0.015,1499
2025-06-19T13:57:12.565226Z,M-003,85.67,0.021,1407
2025-06-19T13:57:13.565226Z,M-001,66.86,0.019,1443
2025-06-19T13:57:14.565226Z,M-004,69.6,0.02,1431
2025-06-19T13:57:15.565226Z,M-002,80.15,0.013,1576
2025-06-19T13:57:16.565226Z,M-002,78.93,0.027,1441
2025-06-19T13:57:17.565226Z,M-003,85.27,0.026,1424
2025-06-19T13:57:18.565226Z,M-005,68.06,0.03,1439
2025-06-19T13:57:19.565226Z,M-001,69.4,0.027,1496
2025-06-19T13:57:20.565226Z,M-001,67.33,0.02,1540
2025-06-19T13:57:21.565226Z,M-004,72.54,0.016,1490
2025-06-19T13:57:22.565226Z,M-005,83.68,0.018,1460
2025-06-19T13:57:23.565226Z,M-005,69.27,0.011,1557
2025-06-19T13:57:24.565226Z,M-004,80.42,0.018,1550
2025-06-19T13:57:25.565226Z,M-004,86.98,0.019,1483
2025-06-19T13:57:26.565226Z,M-004,77.0,0.016,1548
2025-06-19T13:57:27.565226Z,M-002,60.74,0.01,1486
2025-06-19T13:57:28.565226Z,M-004,68.83,0.012,1575
2025-06-19T13:57:29.565226Z,M-005,83.65,0.018,1441
