event_time,machine_id,temperature,vibration,rpm
2025-06-19T13:56:13.565226Z,M-003,86.84,0.03,1575
2025-06-19T13:56:16.565226Z,M-002,87.32,0.016,1443
2025-06-19T13:56:20.565226Z,M-001,89.97,0.02,1532
2025-06-19T13:56:32.565226Z,M-005,85.77,0.024,1431
2025-06-19T13:56:53.565226Z,M-005,85.8,0.029,1479
2025-06-19T13:57:02.565226Z,M-004,86.02,0.015,1419
2025-06-19T13:57:03.565226Z,M-002,87.23,0.012,1574
2025-06-19T13:57:12.565226Z,M-003,85.67,0.021,1407
2025-06-19T13:57:17.565226Z,M-003,85.27,0.026,1424
2025-06-19T13:57:25.565226Z,M-004,86.98,0.019,1483
2025-06-19T13:57:34.565226Z,M-005,89.71,0.023,1446
2025-06-19T13:57:36.565226Z,M-001,89.17,0.027,1544
2025-06-19T13:57:37.565226Z,M-004,86.39,0.023,1469
2025-06-19T13:57:38.565226Z,M-001,85.71,0.02,1483
2025-06-19T13:57:48.565226Z,M-003,86.19,0.02,1543
2025-06-19T13:57:52.565226Z,M-004,88.14,0.01,1466
2025-06-19T13:57:55.565226Z,M-005,86.07,0.026,1557
2025-06-19T13:58:03.565226Z,M-003,85.24,0.011,1542
2025-06-19T13:58:11.565226Z,M-003,88.05,0.011,1542
2025-06-19T13:58:15.565226Z,M-002,86.41,0.028,1478
2025-06-19T13:58:18.565226Z,M-003,87.59,0.011,1520
2025-06-19T13:58:20.565226Z,M-005,89.92,0.02,1592
2025-06-19T13:58:23.565226Z,M-004,89.96,0.024,1527
2025-06-19T13:58:24.565226Z,M-001,87.03,0.019,1496
2025-06-19T13:58:27.565226Z,M-003,87.71,0.013,1574
2025-06-19T13:58:31.565226Z,M-001,88.51,0.028,1512
2025-06-19T13:58:32.565226Z,M-004,85.39,0.029,1439
2025-06-19T13:58:33.565226Z,M-001,86.75,0.029,1490
2025-06-19T13:58:41.565226Z,M-001,85.18,0.012,1496
2025-06-19T13:58:57.565226Z,M-005,85.32,0.016,1582
2025-06-19T13:59:00.565226Z,M-004,86.52,0.017,1571
2025-06-19T13:59:02.565226Z,M-004,87.3,0.026,1497
2025-06-19T13:59:04.565226Z,M-004,86.16,0.012,1563
2025-06-19T13:59:08.565226Z,M-003,86.9,0.017,1491
2025-06-19T13:59:09.565226Z,M-004,89.0,0.02,1518
2025-06-19T13:59:13.565226Z,M-002,88.54,0.02,1536
2025-06-19T13:59:22.565226Z,M-005,86.88,0.026,1595
2025-06-19T13:59:30.565226Z,M-004,85.17,0.018,1537
2025-06-19T13:59:31.565226Z,M-001,85.62,0.022,1478
2025-06-19T13:59:36.565226Z,M-005,89.95,0.023,1485
2025-06-19T13:59:41.565226Z,M-002,89.14,0.02,1563
2025-06-19T13:59:42.565226Z,M-001,86.35,0.012,1430
2025-06-19T13:59:45.565226Z,M-001,86.77,0.027,1488
